Tweets
India 210 (A Kumble 45*, 70.5 ov) - Match over  #tms
Wicket!! India 210 (A Kumble 45*, 70.5 ov)  #tms
Wicket!! India 210/9 (A Kumble 45*, 70.2 ov)  #tms
Wicket!! India 210/8 (A Kumble 45*, 70.1 ov)  #tms
India 200/7 (A Kumble 35*, Harbhajan Singh 7*, 66.1 ov)  #tms
Wicket!! India 185/7 (A Kumble 27*, 61.2 ov)  #tms
India 181/6 (MS Dhoni 35*, A Kumble 23*, 57.4 ov)  #tms
India 177/6 (MS Dhoni 31*, A Kumble 23*, 54.5 ov)  #tms
India 172/6 (MS Dhoni 31*, A Kumble 18*, 51.2 ov)  #tms
India 161/6 (MS Dhoni 24*, A Kumble 14*, 47.5 ov)  #tms
India 150/6 (MS Dhoni 19*, A Kumble 8*, 43.3 ov)  #tms
Wicket!! India 137/6 (MS Dhoni 14*, 40.2 ov)  #tms
India 131/5 (SC Ganguly 50*, MS Dhoni 9*, 38.0 ov)  #tms
Wicket!! India 115/5 (SC Ganguly 43*, 33.4 ov)  #tms
Wicket!! India 115/4 (SC Ganguly 43*, 33.1 ov)  #tms
India 115/3 (R Dravid 38*, SC Ganguly 43*, 33.0 ov)  #tms
India 98/3 (R Dravid 31*, SC Ganguly 33*, 27.6 ov)  #tms
India 79/3 (R Dravid 27*, SC Ganguly 18*, 26.0 ov) - Tea  #tms
India 79/3 (R Dravid 27*, SC Ganguly 18*, 24.6 ov)  #tms
India 68/3 (R Dravid 23*, SC Ganguly 11*, 21.0 ov)  #tms
Wicket!! India 54/3 (R Dravid 20*, SC Ganguly 0*, 18.0 ov)  #tms
India 48/2 (R Dravid 18*, SR Tendulkar 8*, 15.4 ov)  #tms
Wicket!! India 34/2 (R Dravid 12*, SR Tendulkar 0*, 12.0 ov)  #tms
India 30/1 (R Dravid 8*, VVS Laxman 20*, 10.3 ov)  #tms
India 13/1 (R Dravid 4*, VVS Laxman 8*, 6.2 ov)  #tms
India 7/1 (R Dravid 4*, VVS Laxman 2*, 2.5 ov)  #tms
Wicket!! India 3/1 (R Dravid 3*, VVS Laxman 0*, 1.0 ov)  #tms
Wicket!! Aus 395/7 (MEK Hussey 143*, 106.1 ov)  #tms
Wicket!! Aus 393/6 (MEK Hussey 142*, 105.4 ov)  #tms
Wicket!! Aus 378/5 (MEK Hussey 130*, 104.1 ov)  #tms
Aus 366/4 (MEK Hussey 124*, A Symonds 55*, 102.0 ov)  #tms
Aus 341/4 (MEK Hussey 114*, A Symonds 40*, 97.6 ov)  #tms
Aus 322/4 (MEK Hussey 113*, A Symonds 23*, 96.1 ov)  #tms
Aus 315/4 (MEK Hussey 108*, A Symonds 22*, 92.5 ov)  #tms
Aus 301/4 (MEK Hussey 100*, A Symonds 16*, 88.4 ov)  #tms
Aus 283/4 (MEK Hussey 87*, A Symonds 15*, 83.4 ov)  #tms
Aus 282/4 (MEK Hussey 87*, A Symonds 14*, 83.0 ov) - Stumps  #tms
Aus 282/4 (MEK Hussey 87*, A Symonds 14*, 83.0 ov) - Stumps
Aus 276/4 (MEK Hussey 82*, A Symonds 13*, 80.4 ov)
Aus 255/4 (MEK Hussey 75*, A Symonds 0*, 75.1 ov)
Wicket!! Aus 250/4 (MEK Hussey 70*, A Symonds 0*, 71.1 ov)
Wicket!! Aus 250/3 (MEK Hussey 70*, 70.4 ov)
Aus 246/2 (ML Hayden 120*, MEK Hussey 69*, 69.4 ov)
Aus 237/2 (ML Hayden 115*, MEK Hussey 65*, 65.2 ov)
Aus 215/2 (ML Hayden 105*, MEK Hussey 53*, 60.0 ov)
Aus 213/2 (ML Hayden 104*, MEK Hussey 52*, 59.1 ov) - Match delayed by rain
Aus 202/2 (ML Hayden 97*, MEK Hussey 48*, 56.4 ov)
Aus 180/2 (ML Hayden 80*, MEK Hussey 43*, 51.4 ov)
Aus 177/2 (ML Hayden 77*, MEK Hussey 43*, 50.2 ov) - Match delayed by rain
Aus 177/2 (ML Hayden 77*, MEK Hussey 43*, 50.2 ov) - Tea
